id;month_year;employee_id;employee_name;gender;age;salary;function_group;company_name;company_city;company_state;company_type;const_site_category;pay_month
180152022-01-01;01/01/2022;18015;Brendan Foster;Male;21;1212;Assistants;The Grove at Parkside;Palmas;Tocantins;Construction Site;Residential;2022-01
229832022-01-01;01/01/2022;22983;Jeremiah Sanders;Male;25;1212;Assistants;The Grove at Parkside;Palmas;Tocantins;Construction Site;Residential;2022-01
180852022-01-01;01/01/2022;18085;Xavier Ross;Male;24;1212;Assistants;The Grove at Parkside;Palmas;Tocantins;Construction Site;Residential;2022-01
179422022-01-01;01/01/2022;17942;Jorge Russell;Male;34;1739,3;Professionals;The Summit at Laurel Canyon;Palmas;Tocantins;Construction Site;Commercial;2022-01
224222022-01-01;01/01/2022;22422;Edward Ortiz;Male;18;1212;Assistants;The Summit at Laurel Canyon;Palmas;Tocantins;Construction Site;Commercial;2022-01
249212022-01-01;01/01/2022;24921;Colton Jenkins;Male;30;1290,45;Professionals;The Enclave at Stonebridge;Palmas;Tocantins;Construction Site;Residential;2022-01
231782022-01-01;01/01/2022;23178;Joel Perry;Male;34;1859;Professionals;The Residences at Westlake;Goiania;Goias;Construction Site;Residential;2022-01
230012022-01-01;01/01/2022;23001;Maxwell Butler;Male;21;1212;Assistants;The Residences at Westlake;Goiania;Goias;Construction Site;Residential;2022-01
287752022-01-01;01/01/2022;28775;Aidan Barnes;Male;31;3000;Administration;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
299582022-01-01;01/01/2022;29958;Travis Fisher;Male;22;1870;Administration;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
291292022-01-01;01/01/2022;29129;Shane Henderson;Male;22;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
290482022-01-01;01/01/2022;29048;Colin Coleman;Male;22;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
290462022-01-01;01/01/2022;29046;Dominic Simmons;Male;25;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
287712022-01-01;01/01/2022;28771;Vincent Patterson;Male;37;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
288752022-01-01;01/01/2022;28875;Derek Jordan;Male;32;1221;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
262882022-01-01;01/01/2022;26288;Oscar Reynolds;Male;18;1221;Assistants;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
298032022-01-01;01/01/2022;29803;Grant Hamilton;Male;23;1800;Administration;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
291852022-01-01;01/01/2022;29185;Eduardo Graham;Male;28;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
294852022-01-01;01/01/2022;29485;Peter Kim;Male;25;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
297362022-01-01;01/01/2022;29736;Henry Gonzales;Male;36;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
294922022-01-01;01/01/2022;29492;Collin Alexander;Male;32;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
290562022-01-01;01/01/2022;29056;George Ramos;Male;27;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
294872022-01-01;01/01/2022;29487;Bradley Wallace;Male;36;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
288082022-01-01;01/01/2022;28808;Mitchell Griffin;Male;22;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
290552022-01-01;01/01/2022;29055;Ricardo West;Male;31;1221;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
288072022-01-01;01/01/2022;28807;Shawn Cole;Male;34;1870;Professionals;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
301922022-01-01;01/01/2022;30192;Gregory Chavez;Male;19;950;Trainees;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
288442022-01-01;01/01/2022;28844;Francisco Gibson;Male;31;5300;Production Supervisors;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
303312022-01-01;01/01/2022;30331;Liam Bryant;Male;31;1870;Machine Operators;The Meadows at Sunset Ridge;Brasilia;Distrito Federal;Construction Site;Residential;2022-01
